Block,gen[B],kill[B],in[B],out[B]
B0,"{'D2', 'D1'}","{'D78', 'D58', 'D43', 'D38', 'D19', 'D21', 'D66', 'D72', 'D84', 'D11', 'D86', 'D64', 'D75', 'D17', 'D33', 'D23', 'D45', 'D9', 'D29', 'D92', 'D3'}",{},"{'D2', 'D1'}"
B1,{},{},"{'D2', 'D1'}","{'D2', 'D1'}"
B2,{},{},"{'D2', 'D1'}","{'D2', 'D1'}"
B3,{},{},"{'D2', 'D1'}","{'D2', 'D1'}"
B4,{},{},"{'D10', 'D9', 'D4', 'D8', 'D2', 'D15', 'D3', 'D5', 'D1', 'D6'}","{'D10', 'D9', 'D4', 'D8', 'D2', 'D15', 'D3', 'D5', 'D1', 'D6'}"
B5,"{'D10', 'D9', 'D4', 'D8', 'D15', 'D3', 'D5', 'D6'}","{'D67', 'D63', 'D38', 'D61', 'D22', 'D69', 'D87', 'D80', 'D89', 'D84', 'D31', 'D11', 'D86', 'D65', 'D40', 'D17', 'D51', 'D32', 'D92', 'D79', 'D1', 'D78', 'D13', 'D76', 'D70', 'D43', 'D91', 'D60', 'D66', 'D12', 'D74', 'D30', 'D64', 'D75', 'D73', 'D85', 'D50', 'D90', 'D45', 'D81', 'D16', 'D39', 'D59', 'D52', 'D25', 'D35', 'D2', 'D27', 'D56', 'D36', 'D28', 'D18', 'D72', 'D49', 'D46', 'D47', 'D55', 'D77', 'D33', 'D41', 'D26', 'D23', 'D54', 'D57', 'D42', 'D37', 'D14', 'D88', 'D24', 'D58', 'D82', 'D19', 'D21', 'D93', 'D83', 'D34', 'D7', 'D48', 'D71', 'D53', 'D62', 'D68', 'D29', 'D20', 'D44'}","{'D10', 'D9', 'D4', 'D8', 'D2', 'D15', 'D3', 'D5', 'D1', 'D6'}","{'D10', 'D9', 'D4', 'D8', 'D15', 'D3', 'D5', 'D6'}"
B6,{},{},"{'D10', 'D9', 'D4', 'D8', 'D15', 'D3', 'D5', 'D6'}","{'D10', 'D9', 'D4', 'D8', 'D15', 'D3', 'D5', 'D6'}"
B7,{},{},"{'D10', 'D9', 'D4', 'D8', 'D15', 'D3', 'D5', 'D6'}","{'D10', 'D9', 'D4', 'D8', 'D15', 'D3', 'D5', 'D6'}"
B8,{},{},"{'D10', 'D9', 'D4', 'D8', 'D15', 'D3', 'D5', 'D6'}","{'D10', 'D9', 'D4', 'D8', 'D15', 'D3', 'D5', 'D6'}"
B9,{},{},"{'D10', 'D9', 'D4', 'D8', 'D15', 'D3', 'D5', 'D6'}","{'D10', 'D9', 'D4', 'D8', 'D15', 'D3', 'D5', 'D6'}"
B10,{},{},"{'D10', 'D9', 'D4', 'D8', 'D2', 'D15', 'D3', 'D5', 'D1', 'D6'}","{'D10', 'D9', 'D4', 'D8', 'D2', 'D15', 'D3', 'D5', 'D1', 'D6'}"
B11,{},{},"{'D11', 'D4', 'D8', 'D2', 'D15', 'D6', 'D21', 'D10', 'D9', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D11', 'D4', 'D8', 'D2', 'D15', 'D6', 'D21', 'D10', 'D9', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}"
B12,{},{},"{'D11', 'D4', 'D8', 'D2', 'D15', 'D6', 'D21', 'D10', 'D9', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D11', 'D4', 'D8', 'D2', 'D15', 'D6', 'D21', 'D10', 'D9', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}"
B13,"{'D11', 'D16', 'D60', 'D15', 'D14', 'D12'}","{'D52', 'D24', 'D78', 'D13', 'D67', 'D25', 'D35', 'D76', 'D63', 'D58', 'D82', 'D70', 'D27', 'D56', 'D91', 'D6', 'D36', 'D28', 'D83', 'D61', 'D66', 'D69', 'D87', 'D80', 'D46', 'D49', 'D47', 'D5', 'D89', 'D7', 'D55', 'D31', 'D48', 'D86', 'D4', 'D30', 'D40', 'D8', 'D71', 'D77', 'D74', 'D41', 'D26', 'D53', 'D23', 'D62', 'D50', 'D54', 'D51', 'D68', 'D90', 'D32', 'D45', 'D81', 'D57', 'D79', 'D42', 'D37', 'D3', 'D88', 'D1', 'D59'}","{'D11', 'D4', 'D8', 'D2', 'D15', 'D6', 'D21', 'D10', 'D9', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D11', 'D2', 'D15', 'D21', 'D10', 'D9', 'D16', 'D60', 'D22', 'D14', 'D12'}"
B14,{},{},"{'D21', 'D11', 'D10', 'D9', 'D16', 'D60', 'D22', 'D2', 'D15', 'D14', 'D12'}","{'D21', 'D11', 'D10', 'D9', 'D16', 'D60', 'D22', 'D2', 'D15', 'D14', 'D12'}"
B15,"{'D18', 'D17'}","{'D2', 'D43', 'D38', 'D19', 'D21', 'D93', 'D10', 'D34', 'D22', 'D72', 'D84', 'D65', 'D64', 'D75', 'D73', 'D85', 'D33', 'D9', 'D29', 'D92', 'D39', 'D20', 'D44'}","{'D21', 'D11', 'D10', 'D9', 'D16', 'D60', 'D22', 'D2', 'D15', 'D14', 'D12'}","{'D18', 'D11', 'D16', 'D17', 'D60', 'D15', 'D14', 'D12'}"
B16,{},{},"{'D11', 'D17', 'D2', 'D15', 'D21', 'D18', 'D10', 'D9', 'D16', 'D60', 'D22', 'D14', 'D12'}","{'D21', 'D18', 'D11', 'D10', 'D9', 'D16', 'D17', 'D60', 'D22', 'D2', 'D15', 'D14', 'D12'}"
B17,"{'D20', 'D19'}","{'D2', 'D43', 'D38', 'D21', 'D18', 'D10', 'D93', 'D34', 'D22', 'D72', 'D84', 'D65', 'D64', 'D75', 'D73', 'D17', 'D85', 'D33', 'D9', 'D29', 'D92', 'D39', 'D44'}","{'D21', 'D18', 'D11', 'D10', 'D9', 'D16', 'D17', 'D60', 'D22', 'D2', 'D15', 'D14', 'D12'}","{'D11', 'D16', 'D60', 'D20', 'D15', 'D14', 'D19', 'D12'}"
B18,"{'D21', 'D22'}","{'D2', 'D43', 'D38', 'D19', 'D18', 'D93', 'D10', 'D34', 'D72', 'D84', 'D65', 'D64', 'D75', 'D73', 'D17', 'D85', 'D33', 'D9', 'D29', 'D92', 'D39', 'D20', 'D44'}","{'D11', 'D16', 'D60', 'D20', 'D15', 'D14', 'D19', 'D12'}","{'D21', 'D11', 'D22', 'D16', 'D60', 'D15', 'D14', 'D12'}"
B19,{},{},"{'D21', 'D10', 'D9', 'D11', 'D4', 'D8', 'D22', 'D16', 'D60', 'D2', 'D15', 'D3', 'D5', 'D14', 'D1', 'D6', 'D12'}","{'D11', 'D4', 'D8', 'D2', 'D15', 'D6', 'D21', 'D10', 'D9', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}"
B20,{},{},"{'D11', 'D4', 'D8', 'D2', 'D15', 'D6', 'D21', 'D10', 'D9', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D11', 'D4', 'D8', 'D2', 'D15', 'D6', 'D21', 'D10', 'D9', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}"
B21,{},{},"{'D24', 'D25', 'D2', 'D15', 'D27', 'D6', 'D28', 'D21', 'D10', 'D22', 'D60', 'D5', 'D12', 'D11', 'D4', 'D8', 'D26', 'D23', 'D9', 'D29', 'D16', 'D3', 'D14', 'D1'}","{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D60', 'D16', 'D3', 'D5', 'D14', 'D1', 'D12'}"
B22,"{'D24', 'D25', 'D23'}","{'D78', 'D13', 'D67', 'D58', 'D60', 'D66', 'D87', 'D80', 'D46', 'D47', 'D5', 'D12', 'D11', 'D86', 'D4', 'D68', 'D45', 'D79', 'D3', 'D88', 'D1', 'D59'}","{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D60', 'D16', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}"
B23,{},{},"{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}"
B24,{'D26'},"{'D48', 'D81', 'D35', 'D30', 'D40', 'D61', 'D77', 'D69', 'D53', 'D89', 'D14', 'D6'}","{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16'}"
B25,{},{},"{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}"
B26,{'D27'},"{'D31', 'D76', 'D90', 'D49', 'D82', 'D41', 'D15', 'D70', 'D56', 'D62', 'D54', 'D51', 'D7', 'D36'}","{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}"
B27,{},{},"{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}"
B28,{'D28'},"{'D52', 'D83', 'D57', 'D8', 'D74', 'D63', 'D71', 'D16', 'D42', 'D37', 'D50', 'D91', 'D32', 'D55'}","{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D28', 'D21', 'D24', 'D10', 'D25', 'D9', 'D29', 'D22', 'D2', 'D26', 'D23', 'D14', 'D27', 'D6'}"
B29,{},{},"{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}"
B30,{'D29'},"{'D21', 'D9', 'D92', 'D64', 'D75', 'D17', 'D72', 'D33', 'D2', 'D43', 'D84', 'D38', 'D19'}","{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D28', 'D24', 'D10', 'D25', 'D29', 'D8', 'D22', 'D16', 'D26', 'D23', 'D14', 'D27', 'D6'}"
B31,{},{},"{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}"
B32,{},{},"{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}"
B33,"{'D31', 'D30', 'D34', 'D33', 'D32'}","{'D52', 'D76', 'D35', 'D63', 'D82', 'D2', 'D15', 'D70', 'D43', 'D27', 'D56', 'D91', 'D38', 'D6', 'D19', 'D36', 'D28', 'D21', 'D18', 'D10', 'D83', 'D93', 'D61', 'D22', 'D72', 'D69', 'D49', 'D89', 'D84', 'D7', 'D55', 'D48', 'D8', 'D74', 'D40', 'D71', 'D64', 'D77', 'D17', 'D75', 'D65', 'D73', 'D85', 'D41', 'D26', 'D53', 'D50', 'D62', 'D54', 'D51', 'D90', 'D81', 'D57', 'D9', 'D29', 'D92', 'D16', 'D39', 'D20', 'D42', 'D37', 'D14', 'D44'}","{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D31', 'D1', 'D24', 'D11', 'D25', 'D4', 'D30', 'D34', 'D60', 'D33', 'D3', 'D23', 'D5', 'D32', 'D12'}"
B34,{},{},"{'D24', 'D25', 'D2', 'D15', 'D27', 'D6', 'D28', 'D21', 'D10', 'D34', 'D22', 'D60', 'D5', 'D12', 'D31', 'D11', 'D4', 'D8', 'D30', 'D33', 'D26', 'D23', 'D32', 'D9', 'D29', 'D16', 'D3', 'D14', 'D1'}","{'D31', 'D24', 'D11', 'D25', 'D4', 'D8', 'D30', 'D33', 'D2', 'D15', 'D26', 'D27', 'D23', 'D32', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D34', 'D22', 'D60', 'D16', 'D3', 'D5', 'D14', 'D1', 'D12'}"
B35,"{'D35', 'D39', 'D37', 'D38', 'D36'}","{'D52', 'D76', 'D63', 'D82', 'D2', 'D15', 'D70', 'D43', 'D27', 'D56', 'D91', 'D6', 'D19', 'D28', 'D21', 'D18', 'D10', 'D83', 'D93', 'D61', 'D34', 'D22', 'D72', 'D69', 'D49', 'D89', 'D84', 'D7', 'D55', 'D31', 'D48', 'D8', 'D30', 'D40', 'D71', 'D74', 'D77', 'D17', 'D64', 'D75', 'D65', 'D73', 'D33', 'D41', 'D85', 'D26', 'D53', 'D50', 'D62', 'D54', 'D51', 'D90', 'D32', 'D81', 'D57', 'D9', 'D29', 'D92', 'D16', 'D20', 'D42', 'D14', 'D44'}","{'D31', 'D24', 'D11', 'D25', 'D4', 'D8', 'D30', 'D33', 'D2', 'D15', 'D26', 'D27', 'D23', 'D32', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D34', 'D22', 'D60', 'D16', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D24', 'D11', 'D25', 'D35', 'D4', 'D39', 'D60', 'D12', 'D37', 'D3', 'D23', 'D5', 'D38', 'D1', 'D36'}"
B36,"{'D40', 'D42', 'D41', 'D43', 'D44'}","{'D52', 'D76', 'D35', 'D63', 'D82', 'D2', 'D15', 'D70', 'D27', 'D56', 'D91', 'D38', 'D6', 'D19', 'D36', 'D28', 'D21', 'D18', 'D10', 'D83', 'D93', 'D61', 'D34', 'D22', 'D72', 'D69', 'D49', 'D89', 'D84', 'D7', 'D55', 'D31', 'D48', 'D8', 'D30', 'D74', 'D71', 'D64', 'D77', 'D17', 'D75', 'D65', 'D73', 'D85', 'D33', 'D26', 'D53', 'D50', 'D62', 'D54', 'D51', 'D90', 'D32', 'D81', 'D57', 'D9', 'D29', 'D92', 'D16', 'D39', 'D20', 'D37', 'D14'}","{'D24', 'D11', 'D25', 'D35', 'D4', 'D39', 'D60', 'D12', 'D37', 'D3', 'D23', 'D5', 'D38', 'D1', 'D36'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D40', 'D60', 'D23', 'D42', 'D41', 'D43', 'D3', 'D5', 'D44', 'D12'}"
B37,{},{},"{'D24', 'D25', 'D43', 'D56', 'D60', 'D46', 'D5', 'D12', 'D44', 'D11', 'D4', 'D40', 'D41', 'D53', 'D23', 'D45', 'D57', 'D42', 'D3', 'D1'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D40', 'D41', 'D53', 'D43', 'D56', 'D23', 'D45', 'D57', 'D60', 'D42', 'D46', 'D3', 'D5', 'D44', 'D12'}"
B38,{},{},"{'D24', 'D25', 'D43', 'D56', 'D60', 'D46', 'D5', 'D12', 'D44', 'D11', 'D4', 'D40', 'D41', 'D53', 'D23', 'D45', 'D57', 'D42', 'D3', 'D1'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D40', 'D41', 'D53', 'D43', 'D56', 'D23', 'D45', 'D57', 'D60', 'D42', 'D46', 'D3', 'D5', 'D44', 'D12'}"
B39,"{'D60', 'D46', 'D45'}","{'D24', 'D78', 'D13', 'D67', 'D25', 'D58', 'D66', 'D87', 'D80', 'D47', 'D5', 'D12', 'D11', 'D86', 'D4', 'D23', 'D68', 'D79', 'D3', 'D88', 'D1', 'D59'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D40', 'D41', 'D53', 'D43', 'D56', 'D23', 'D45', 'D57', 'D60', 'D42', 'D46', 'D3', 'D5', 'D44', 'D12'}","{'D45', 'D57', 'D40', 'D60', 'D42', 'D46', 'D41', 'D53', 'D43', 'D56', 'D44'}"
B40,{},{},"{'D45', 'D57', 'D40', 'D60', 'D42', 'D46', 'D41', 'D53', 'D43', 'D56', 'D44'}","{'D45', 'D57', 'D40', 'D60', 'D42', 'D46', 'D41', 'D53', 'D43', 'D56', 'D44'}"
B41,{'D48'},"{'D81', 'D35', 'D30', 'D40', 'D61', 'D77', 'D69', 'D26', 'D53', 'D89', 'D14', 'D6'}","{'D45', 'D57', 'D40', 'D60', 'D42', 'D46', 'D41', 'D53', 'D43', 'D56', 'D44'}","{'D48', 'D45', 'D57', 'D60', 'D42', 'D46', 'D41', 'D43', 'D56', 'D44'}"
B42,{},{},"{'D48', 'D45', 'D57', 'D60', 'D42', 'D46', 'D41', 'D43', 'D56', 'D44'}","{'D48', 'D45', 'D57', 'D60', 'D42', 'D46', 'D41', 'D43', 'D56', 'D44'}"
